Dataset,CandidateSet,Ablation,SelectedInterface,ALISScore,NDCG@20,Recall@20,DeltaVsBase,HarmRate,GHR,CostVsDirect,WeightedUCR,ProfileDrift,Top20OverlapVsBase,MeanAbsRankShift
Amazon Books,top-100,balanced_full,Remove Repair,0.8634065904124355,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,no_cost_penalty,Remove Repair,0.9481878571428572,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,no_disruption_penalty,Remove Repair,0.8723615904124354,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,no_grounding_penalty,Remove Repair,0.8634065904124355,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,no_harm_penalty,Remove Repair,0.9062637332695782,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
ML-1M,top-50,balanced_full,Direct,0.65152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,no_cost_penalty,Direct,0.80152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,no_disruption_penalty,Direct,0.7,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,no_grounding_penalty,Direct,0.65152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,no_harm_penalty,Direct,0.80152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
Yelp,top-100,balanced_full,Raw Profile,0.6499019512490998,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,no_cost_penalty,Raw Profile,0.7202700000000001,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,no_disruption_penalty,Raw Profile,0.6871319512490998,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,no_grounding_penalty,Raw Profile,0.7499019512490998,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,no_harm_penalty,Raw Profile,0.7924019512490997,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
