Dataset,CandidateSet,PreferenceProfile,SelectedInterface,ALISScore,NDCG@20,Recall@20,DeltaVsBase,HarmRate,GHR,CostVsDirect,WeightedUCR,ProfileDrift,Top20OverlapVsBase,MeanAbsRankShift
Amazon Books,top-100,accuracy_first,Remove Repair,0.9820860453883247,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,balanced,Remove Repair,0.8634065904124355,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,cost_first,Remove Repair,0.30812977123730606,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
Amazon Books,top-100,safety_first,Remove Repair,0.5300466555130522,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.5652084448694785,0.0,0.8267324543623363,0.9104500000000001,1.5241354550592168
ML-1M,top-50,accuracy_first,Direct,0.955152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,balanced,Direct,0.65152,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,cost_first,Direct,0.0015199999999999589,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
ML-1M,top-50,safety_first,Direct,0.17728,0.03119607385806312,0.0745,0.006340163432334844,0.036,1.5682730208600244,1.0,0.0,0.0,0.5152,12.902
Yelp,top-100,accuracy_first,Raw Profile,0.9578945934998799,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,balanced,Raw Profile,0.6499019512490998,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,cost_first,Raw Profile,0.206665853747299,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.4691203250060023,0.08941294530858003,0.6570838845025093,0.6277,4.326051128201863
Yelp,top-100,safety_first,Base,0.16090000071733723,0.015520207835529926,0.037,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
