Dataset,CostWeight,GroundingWeight,SelectedInterface,ALISScore,NDCG@20,CostVsDirect,WeightedUCR
Amazon Books,0.0,0.0,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.0,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.0,Raw Profile,0.82027,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.0,0.05,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.05,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.05,Raw Profile,0.77027,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.0,0.1,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.1,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.1,Raw Profile,0.7202700000000001,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.0,0.2,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.2,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.2,Raw Profile,0.6202700000000001,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.0,0.35,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.35,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.35,Raw Profile,0.4702700000000001,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.0,0.5,Remove Repair,0.9481878571428572,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.0,0.5,Direct,0.80152,0.03119607385806312,1.0,0.0
Yelp,0.0,0.5,Remove Repair,0.4098919918573795,0.016006324127967902,0.4691203250060023,0.0
Amazon Books,0.05,0.0,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.0,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.0,Raw Profile,0.7968139837496999,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.05,0.05,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.05,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.05,Raw Profile,0.7468139837496999,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.05,0.1,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.1,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.1,Raw Profile,0.6968139837496999,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.05,0.2,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.2,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.2,Raw Profile,0.5968139837497,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.05,0.35,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.35,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.35,Raw Profile,0.44681398374969994,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.05,0.5,Remove Repair,0.9199274348993833,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.05,0.5,Direct,0.75152,0.03119607385806312,1.0,0.0
Yelp,0.05,0.5,Remove Repair,0.3864359756070794,0.016006324127967902,0.4691203250060023,0.0
Amazon Books,0.1,0.0,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.0,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.0,Raw Profile,0.7733579674993998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.1,0.05,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.05,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.05,Raw Profile,0.7233579674993997,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.1,0.1,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.1,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.1,Raw Profile,0.6733579674993998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.1,0.2,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.2,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.2,Raw Profile,0.5733579674993998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.1,0.35,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.35,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.35,Raw Profile,0.4233579674993998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.1,0.5,Remove Repair,0.8916670126559094,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.1,0.5,Direct,0.70152,0.03119607385806312,1.0,0.0
Yelp,0.1,0.5,Remove Repair,0.36297995935677924,0.016006324127967902,0.4691203250060023,0.0
Amazon Books,0.15,0.0,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.0,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.0,Raw Profile,0.7499019512490998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.15,0.05,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.05,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.05,Raw Profile,0.6999019512490997,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.15,0.1,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.1,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.1,Raw Profile,0.6499019512490998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.15,0.2,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.2,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.2,Raw Profile,0.5499019512490997,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.15,0.35,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.35,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.35,Raw Profile,0.3999019512490998,0.01656001993663025,0.4691203250060023,0.08941294530858003
Amazon Books,0.15,0.5,Remove Repair,0.8634065904124355,0.004975085182229147,0.5652084448694785,0.0
ML-1M,0.15,0.5,Direct,0.65152,0.03119607385806312,1.0,0.0
Yelp,0.15,0.5,Remove Repair,0.3395239431064792,0.016006324127967902,0.4691203250060023,0.0
