CandidateSet,Subset,Method,Users,NDCG@20,Recall@20,MeanDeltaVsBase,WinsVsBase,TiesVsBase,LossesVsBase
50,any_method_hit,LightGCN,14,0.3045308991782022,0.7857142857142857,0.0,0,14,0
50,any_method_hit,DeepSeek Direct Rerank,14,0.23178373026512245,0.6428571428571429,-0.07274716891307975,3,2,9
50,any_method_hit,Profile Rerank Raw,14,0.3331158616100276,0.8571428571428571,0.028584962431825376,3,7,4
50,any_method_hit,Profile Rerank Remove,14,0.3310345837771217,0.8571428571428571,0.02650368459891952,3,9,2
50,any_method_hit,Profile Rerank EGPR,14,0.30418532235319545,0.7857142857142857,-0.00034557682500675557,0,13,1
100,any_method_hit,LightGCN,18,0.23685736602749058,0.6111111111111112,0.0,0,18,0
100,any_method_hit,DeepSeek Direct Rerank,18,0.21923687271556794,0.6666666666666666,-0.017620493311922676,7,4,7
100,any_method_hit,Profile Rerank Raw,18,0.2702010300258607,0.6666666666666666,0.033343663998370104,5,8,5
100,any_method_hit,Profile Rerank Remove,18,0.27639362123495265,0.7222222222222222,0.03953625520746201,4,12,2
100,any_method_hit,Profile Rerank EGPR,18,0.26735957643806024,0.6111111111111112,0.030502210410569677,6,7,5
