CandidateSet,Method,NDCG@20,Recall@20,DeltaVsBase,HarmRate,GHR,TestCostUSD,CostVsDirect
50,LightGCN,0.004263432588494831,0.011,0.0,0.0,,0.0,0.0
50,DeepSeek Direct Rerank,0.003244972223711714,0.009,-0.001018460364783117,0.009,0.4746019929004827,0.16506490000000001,1.0
50,Profile Rerank Raw,0.004663622062540386,0.012,0.000400189474045555,0.004,15.691482868614058,0.16805068,1.0180885215451618
50,Profile Rerank Remove,0.004634484172879704,0.012,0.0003710515843848728,0.002,6.009567587387426,0.16805068,1.0180885215451618
50,Profile Rerank EGPR,0.004258594512944737,0.011,-4.838075550094023e-06,0.001,0.0,0.16805068,1.0180885215451618
100,LightGCN,0.004263432588494831,0.011,0.0,0.0,,0.0,0.0
100,DeepSeek Direct Rerank,0.003946263708880223,0.012,-0.0003171688796146082,0.007,0.8460792793711659,0.29732514000000004,1.0
100,Profile Rerank Raw,0.004863618540465494,0.012,0.0006001859519706625,0.005,2.872237420065292,0.16805068,0.5652084448694785
100,Profile Rerank Remove,0.004975085182229147,0.013,0.0007116525937343162,0.002,10.608021949190093,0.16805068,0.5652084448694785
100,Profile Rerank EGPR,0.004812472375885085,0.011,0.000549039787390254,0.005,1.9622629075301423,0.16805068,0.5652084448694785
