CandidateSet,Method,Users,NDCG@20,Recall@20,WinsVsBase,TiesVsBase,LossesVsBase,Top20OverlapVsBase,Top20JaccardVsBase,MeanAbsRankShiftVsBase,HitUsers
50,LightGCN,1000,0.004263432588494831,0.011,0,1000,0,1.0,1.0,0.0,11
50,DeepSeek Direct Rerank,1000,0.003244972223711714,0.009,3,988,9,0.75425,0.6596927469555067,4.06311551452933,9
50,Profile Rerank Raw,1000,0.004663622062540386,0.012,3,993,4,0.96695,0.9379465462074158,0.6371405916752665,12
50,Profile Rerank Remove,1000,0.004634484172879704,0.012,3,995,2,0.9140999999999999,0.8477833123398342,1.533539944837584,12
50,Profile Rerank EGPR,1000,0.004258594512944737,0.011,0,999,1,0.9850999999999999,0.9717575757575759,0.33640233918128654,11
100,LightGCN,1000,0.004263432588494831,0.011,0,1000,0,1.0,1.0,0.0,11
100,DeepSeek Direct Rerank,1000,0.003946263708880223,0.012,7,986,7,0.65565,0.5800034234587821,4.2391992751357686,12
100,Profile Rerank Raw,1000,0.004863618540465494,0.012,5,990,5,0.81865,0.7032965729145638,2.7285206713565073,12
100,Profile Rerank Remove,1000,0.004975085182229147,0.013,4,994,2,0.9104500000000001,0.841982559469516,1.5241354550592168,13
100,Profile Rerank EGPR,1000,0.004812472375885085,0.011,6,989,5,0.8178,0.7023292771640597,2.772396263566155,11
