uid,target,NDCG@20,Recall@20,HitRate@20
114,37546,0.0,0.0,0.0
309,78938,0.0,0.0,0.0
402,26709,0.0,0.0,0.0
447,79080,0.0,0.0,0.0
555,22598,0.0,0.0,0.0
592,79206,0.0,0.0,0.0
772,40647,0.0,0.0,0.0
976,40894,0.0,0.0,0.0
1027,75953,0.0,0.0,0.0
1074,54559,0.0,0.0,0.0
1096,41414,0.0,0.0,0.0
1344,54245,0.0,0.0,0.0
1375,72035,0.0,0.0,0.0
1379,11816,0.0,0.0,0.0
1399,63928,0.0,0.0,0.0
1470,54487,0.0,0.0,0.0
1494,78972,0.0,0.0,0.0
1510,78363,0.0,0.0,0.0
1595,46547,0.0,0.0,0.0
1610,57986,0.0,0.0,0.0
1684,54323,0.0,0.0,0.0
1887,26786,0.0,0.0,0.0
1894,49385,0.0,0.0,0.0
1930,53542,0.0,0.0,0.0
2027,35824,0.0,0.0,0.0
2287,79111,0.0,0.0,0.0
2299,9163,0.0,0.0,0.0
2458,21399,0.0,0.0,0.0
2474,71192,0.0,0.0,0.0
2560,55472,0.0,0.0,0.0
2748,78810,0.0,0.0,0.0
2783,73904,0.0,0.0,0.0
2858,54545,0.0,0.0,0.0
2864,32699,0.0,0.0,0.0
2971,40708,0.0,0.0,0.0
3063,9146,0.0,0.0,0.0
3145,67833,0.0,0.0,0.0
3200,35506,0.0,0.0,0.0
3269,26542,0.0,0.0,0.0
3279,69807,0.0,0.0,0.0
3472,34956,0.0,0.0,0.0
3513,52200,0.0,0.0,0.0
3533,54509,0.0,0.0,0.0
3560,47343,0.0,0.0,0.0
3607,54461,0.0,0.0,0.0
3614,78753,0.0,0.0,0.0
3614,76436,0.0,0.0,0.0
3659,54449,0.0,0.0,0.0
3685,51023,0.0,0.0,0.0
3692,56412,0.0,0.0,0.0
3869,10891,0.0,0.0,0.0
3942,19330,0.0,0.0,0.0
3958,78932,0.0,0.0,0.0
3981,23480,0.0,0.0,0.0
4006,18318,0.0,0.0,0.0
4027,47284,0.0,0.0,0.0
4092,20995,0.0,0.0,0.0
4105,54386,0.0,0.0,0.0
4124,63332,0.0,0.0,0.0
4199,78283,0.0,0.0,0.0
4278,73783,0.0,0.0,0.0
4417,79070,0.0,0.0,0.0
4499,63002,0.0,0.0,0.0
4531,44900,0.0,0.0,0.0
4538,78328,0.0,0.0,0.0
4631,39980,0.0,0.0,0.0
4727,78275,0.0,0.0,0.0
4741,79113,0.0,0.0,0.0
