uid,target,NDCG@20,Recall@20,HitRate@20
5,538,0.0,0.0,0.0
6,2562,0.0,0.0,0.0
9,1809,0.0,0.0,0.0
18,988,0.0,0.0,0.0
20,2296,0.0,0.0,0.0
24,3126,0.0,0.0,0.0
25,2188,0.0,0.0,0.0
32,2245,0.0,0.0,0.0
34,923,0.0,0.0,0.0
36,877,0.0,0.0,0.0
41,1914,0.0,0.0,0.0
46,1539,0.0,0.0,0.0
52,525,0.0,0.0,0.0
60,3216,0.0,0.0,0.0
61,2415,0.0,0.0,0.0
62,493,0.0,0.0,0.0
63,2471,0.0,0.0,0.0
64,769,0.0,0.0,0.0
65,1551,0.0,0.0,0.0
71,2795,0.0,0.0,0.0
75,3122,0.0,0.0,0.0
79,532,0.0,0.0,0.0
81,2999,0.0,0.0,0.0
82,3194,0.0,0.0,0.0
83,1132,0.0,0.0,0.0
88,3074,0.0,0.0,0.0
89,1161,0.0,0.0,0.0
92,3219,0.0,0.0,0.0
93,3159,0.0,0.0,0.0
95,864,0.0,0.0,0.0
96,2731,0.0,0.0,0.0
97,284,0.0,0.0,0.0
103,2116,0.0,0.0,0.0
107,3235,0.0,0.0,0.0
113,2550,0.0,0.0,0.0
120,3083,0.0,0.0,0.0
121,993,0.38685280723454163,1.0,1.0
123,2704,0.0,0.0,0.0
127,2165,0.0,0.0,0.0
135,390,0.0,0.0,0.0
136,1129,0.0,0.0,0.0
138,3097,0.0,0.0,0.0
139,953,0.0,0.0,0.0
143,1303,0.0,0.0,0.0
145,1001,0.0,0.0,0.0
148,1806,0.0,0.0,0.0
150,2967,0.0,0.0,0.0
151,1212,0.0,0.0,0.0
154,3076,0.0,0.0,0.0
155,952,0.23540891336663824,1.0,1.0
156,1775,0.0,0.0,0.0
159,3126,0.0,0.0,0.0
161,503,0.0,0.0,0.0
167,3087,0.0,0.0,0.0
169,959,0.0,0.0,0.0
170,1297,0.0,0.0,0.0
173,2983,0.0,0.0,0.0
175,2772,0.0,0.0,0.0
178,592,0.0,0.0,0.0
179,2883,0.0,0.0,0.0
182,1662,0.0,0.0,0.0
191,3256,0.0,0.0,0.0
192,1785,0.0,0.0,0.0
198,2113,0.0,0.0,0.0
199,2788,0.0,0.0,0.0
200,3212,0.0,0.0,0.0
203,237,0.0,0.0,0.0
204,1297,0.0,0.0,0.0
207,1763,0.0,0.0,0.0
209,358,0.0,0.0,0.0
219,2391,0.0,0.0,0.0
220,2538,0.0,0.0,0.0
224,1843,0.3562071871080222,1.0,1.0
