Subset,Method,Users,NDCG@20,Recall@20,MeanDeltaVsBase,WinsVsBase,TiesVsBase,LossesVsBase
any_method_hit,LightGCN,208,0.23899913870892572,0.6298076923076923,0.0,0,208,0
any_method_hit,DeepSeek Direct Rerank,208,0.2999622486352223,0.7163461538461539,0.06096310992629658,118,18,72
any_method_hit,Profile Rerank Raw,208,0.26736026784839095,0.6682692307692307,0.02836112913946525,89,49,70
any_method_hit,Profile Rerank Remove,208,0.26736026784839095,0.6682692307692307,0.02836112913946525,89,49,70
any_method_hit,Profile Rerank EGPR,208,0.2690858666510778,0.6682692307692307,0.030086727942152076,88,49,71
any_ndcg_delta_vs_base,LightGCN,205,0.22786254073881243,0.624390243902439,0.0,0,205,0
any_ndcg_delta_vs_base,DeepSeek Direct Rerank,205,0.2897177937372012,0.7121951219512195,0.06185525299838872,118,15,72
any_ndcg_delta_vs_base,Profile Rerank Raw,205,0.25663871079251377,0.6634146341463415,0.028776170053701325,89,46,70
any_ndcg_delta_vs_base,Profile Rerank Remove,205,0.25663871079251377,0.6634146341463415,0.028776170053701325,89,46,70
any_ndcg_delta_vs_base,Profile Rerank EGPR,205,0.2583895622606058,0.6634146341463415,0.03052702152179333,88,46,71
