CandidateSet,Subset,Method,Users,NDCG@20,Recall@20,MeanDeltaVsBase,WinsVsBase,TiesVsBase,LossesVsBase
50,any_method_hit,LightGCN,49,0.3167389354189781,0.7551020408163265,0.0,0,49,0
50,any_method_hit,DeepSeek Direct Rerank,49,0.29346534921202677,0.6938775510204082,-0.0232735862069513,22,11,16
50,any_method_hit,Profile Rerank Raw,49,0.32671754564460986,0.7142857142857143,0.009978610225631781,20,9,20
50,any_method_hit,Profile Rerank Remove,49,0.31425233252111406,0.6938775510204082,-0.0024866028978639963,20,10,19
50,any_method_hit,Profile Rerank EGPR,49,0.31137806569495746,0.6938775510204082,-0.005360869724020581,20,10,19
100,any_method_hit,LightGCN,52,0.2984655352986524,0.7115384615384616,0.0,0,52,0
100,any_method_hit,DeepSeek Direct Rerank,52,0.2924974057937954,0.6923076923076923,-0.00596812950485704,22,14,16
100,any_method_hit,Profile Rerank Raw,52,0.31846192185827404,0.6923076923076923,0.019996386559621673,21,12,19
100,any_method_hit,Profile Rerank Remove,52,0.3078139255378443,0.6923076923076923,0.009348390239191873,21,12,19
100,any_method_hit,Profile Rerank EGPR,52,0.29318033174255975,0.6346153846153846,-0.005285203556092634,21,11,20
