CandidateSet,Method,NDCG@20,Recall@20,DeltaVsBase,HarmRate,GHR,TestCostUSD,CostVsDirect
50,LightGCN,0.015520207835529926,0.037,0.0,0.0,,0.0,0.0
50,DeepSeek Direct Rerank,0.01437980211138931,0.034,-0.0011404057241406161,0.016,0.8071829099245303,0.34452950000000004,1.0
50,Profile Rerank Raw,0.01600915973658588,0.035,0.0004889519010559552,0.02,1.1125015883444656,0.28640234,0.8312853906559524
50,Profile Rerank Remove,0.01539836429353459,0.034,-0.00012184354199533572,0.019,0.9729422165726965,0.28640234,0.8312853906559524
50,Profile Rerank EGPR,0.015257525219052917,0.034,-0.0002626826164770085,0.019,0.940309348209774,0.28640234,0.8312853906559524
100,LightGCN,0.015520207835529926,0.037,0.0,0.0,,0.0,0.0
100,DeepSeek Direct Rerank,0.01520986510127736,0.036,-0.00031034273425256664,0.016,0.9422631447077926,0.61050934,1.0
100,Profile Rerank Raw,0.01656001993663025,0.036,0.0010398121011003254,0.019,1.2326842844757027,0.28640234,0.4691203250060023
100,Profile Rerank Remove,0.016006324127967902,0.036,0.0004861162924379766,0.019,1.109858171597217,0.28640234,0.4691203250060023
100,Profile Rerank EGPR,0.015245377250613111,0.033,-0.00027483058491681485,0.02,0.9472644322235718,0.28640234,0.4691203250060023
