CandidateSet,Method,Users,NDCG@20,Recall@20,WinsVsBase,TiesVsBase,LossesVsBase,Top20OverlapVsBase,Top20JaccardVsBase,MeanAbsRankShiftVsBase,HitUsers
50,LightGCN,1000,0.015520207835529926,0.037,0,1000,0,1.0,1.0,0.0,37
50,DeepSeek Direct Rerank,1000,0.01437980211138931,0.034,22,962,16,0.70325,0.5871772434167623,4.200313580043108,34
50,Profile Rerank Raw,1000,0.01600915973658588,0.035,20,960,20,0.6882,0.5292889186331465,4.290631988844488,35
50,Profile Rerank Remove,1000,0.01539836429353459,0.034,20,961,19,0.68675,0.527726822623442,4.304368252172664,34
50,Profile Rerank EGPR,1000,0.015257525219052917,0.034,20,961,19,0.6849,0.5256805130872453,4.321274612315788,34
100,LightGCN,1000,0.015520207835529926,0.037,0,1000,0,1.0,1.0,0.0,37
100,DeepSeek Direct Rerank,1000,0.01520986510127736,0.036,22,962,16,0.6053,0.510200209003301,4.195716082283728,36
100,Profile Rerank Raw,1000,0.01656001993663025,0.036,21,960,19,0.6277,0.4624680801267734,4.326051128201863,36
100,Profile Rerank Remove,1000,0.016006324127967902,0.036,21,960,19,0.6249000000000001,0.45961253986744144,4.347545483682984,36
100,Profile Rerank EGPR,1000,0.015245377250613111,0.033,21,959,20,0.62295,0.45751738825337024,4.384661082626524,33
