uid,input_tokens,output_tokens,latency_seconds
139,702.0,218.0,3.7530860900878906
153,725.0,242.0,4.165876626968384
219,834.0,232.0,3.6255111694335938
309,775.0,221.0,4.529781818389893
371,736.0,216.0,3.1316049098968506
388,749.0,221.0,3.5147809982299805
399,439.0,218.0,2.989319324493408
407,723.0,248.0,3.7945802211761475
421,763.0,226.0,3.8351492881774902
540,749.0,218.0,3.244738817214966
569,698.0,239.0,3.534534454345703
632,767.0,227.0,3.6025679111480713
681,694.0,232.0,2.9553987979888916
699,590.0,218.0,2.9946115016937256
710,646.0,237.0,3.5942001342773438
728,749.0,211.0,3.070119619369507
736,466.0,221.0,2.8839874267578125
746,518.0,214.0,3.8448803424835205
765,531.0,204.0,2.999624252319336
867,767.0,225.0,3.1760594844818115
869,514.0,213.0,2.8116610050201416
954,744.0,237.0,3.2989957332611084
976,709.0,234.0,4.038690567016602
978,779.0,199.0,3.254878520965576
1017,751.0,233.0,3.1504926681518555
1215,698.0,199.0,2.854218006134033
1246,746.0,238.0,3.4088990688323975
1276,599.0,259.0,3.5057642459869385
1288,617.0,200.0,3.274700403213501
1371,834.0,227.0,4.216327428817749
1372,760.0,220.0,3.097550868988037
1377,770.0,236.0,3.723320960998535
1390,751.0,222.0,3.4236743450164795
1422,463.0,240.0,3.2550883293151855
1694,397.0,199.0,3.0205881595611572
1697,451.0,232.0,3.5602848529815674
1728,781.0,210.0,3.095275402069092
1732,705.0,253.0,3.5354154109954834
1746,667.0,211.0,3.646531105041504
1775,437.0,201.0,2.755021810531616
1823,739.0,228.0,3.679176092147827
1905,766.0,242.0,3.6206252574920654
1907,661.0,197.0,2.600640296936035
1923,660.0,212.0,3.0723724365234375
1962,746.0,229.0,3.207247734069824
1969,750.0,232.0,3.2346291542053223
1993,746.0,251.0,4.425488233566284
2028,654.0,206.0,3.1681861877441406
2041,786.0,247.0,3.4342849254608154
2094,781.0,241.0,3.4032177925109863
2104,632.0,200.0,3.3970234394073486
2136,648.0,206.0,3.3776566982269287
2371,755.0,220.0,3.6513302326202393
2426,664.0,215.0,3.0754735469818115
2462,712.0,233.0,3.313328742980957
2513,453.0,219.0,3.3835318088531494
2574,642.0,198.0,2.7208921909332275
2643,365.0,203.0,2.6001524925231934
2854,766.0,238.0,3.1063194274902344
2886,727.0,228.0,3.2145252227783203
2959,831.0,208.0,2.7991943359375
2977,634.0,217.0,2.7754688262939453
3089,383.0,219.0,3.145062208175659
3102,729.0,209.0,3.0381200313568115
3113,675.0,242.0,3.5403518676757812
3117,557.0,220.0,3.107569694519043
3143,724.0,216.0,3.268951416015625
3166,451.0,209.0,3.0886788368225098
3251,660.0,253.0,4.183866500854492
3278,531.0,227.0,3.788784980773926
3284,537.0,239.0,4.039569854736328
3310,550.0,212.0,3.2742698192596436
3447,731.0,214.0,3.019968032836914
3480,729.0,227.0,2.9269216060638428
3520,617.0,208.0,3.2010746002197266
3527,489.0,203.0,2.9243764877319336
3536,438.0,207.0,3.3219387531280518
3631,744.0,228.0,3.074143648147583
3645,531.0,247.0,3.2896883487701416
3724,369.0,202.0,3.0265445709228516
3783,757.0,216.0,3.0699729919433594
3925,561.0,216.0,3.546327829360962
3964,471.0,189.0,2.57155704498291
3989,567.0,224.0,3.584141492843628
4065,518.0,214.0,3.018458366394043
4091,814.0,272.0,5.023051738739014
4098,705.0,224.0,4.400976896286011
4111,696.0,196.0,2.4431774616241455
4217,681.0,215.0,2.7820987701416016
4257,451.0,200.0,3.0420191287994385
4289,782.0,245.0,3.7315399646759033
4397,588.0,209.0,3.1396496295928955
4485,858.0,223.0,3.681820869445801
4508,797.0,205.0,3.5652389526367188
4571,702.0,225.0,3.283353567123413
4574,484.0,217.0,3.0861542224884033
4646,737.0,216.0,3.0199341773986816
4650,734.0,256.0,3.7116503715515137
4658,776.0,222.0,3.2041378021240234
4699,748.0,263.0,3.840475082397461
4745,434.0,205.0,3.0934603214263916
4747,701.0,216.0,3.705693244934082
4756,598.0,233.0,3.620826005935669
4811,875.0,226.0,4.031973838806152
4900,761.0,232.0,3.282275438308716
4949,792.0,223.0,3.4890003204345703
4963,601.0,200.0,3.383167266845703
5002,661.0,235.0,3.848966360092163
5016,751.0,234.0,3.4941437244415283
5055,671.0,211.0,3.2018320560455322
5058,708.0,211.0,3.3057422637939453
5101,741.0,212.0,3.1496970653533936
5128,726.0,244.0,4.808094263076782
5227,671.0,223.0,3.5917880535125732
5241,746.0,219.0,3.089891195297241
5242,884.0,208.0,3.1299445629119873
5272,503.0,204.0,2.9491684436798096
5306,745.0,232.0,3.594090700149536
5407,522.0,272.0,3.7264184951782227
5486,729.0,222.0,3.813718557357788
5572,459.0,205.0,3.8250465393066406
5673,489.0,208.0,2.878811836242676
5683,709.0,257.0,4.391775846481323
5776,791.0,211.0,3.4661223888397217
5818,564.0,203.0,3.0171940326690674
5819,611.0,196.0,3.476616382598877
5885,717.0,242.0,4.156342506408691
5903,718.0,214.0,3.215135097503662
6029,468.0,206.0,3.2633516788482666
6061,591.0,222.0,3.3246805667877197
6065,755.0,208.0,3.3630990982055664
6186,594.0,204.0,3.008063316345215
